Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
PRIVREDNO DRUŠTVO ZA INŽENJERING I USLUGE OBRADE PODATAKA RADIMPEX SOFTWARE DOO BEOGRAD (ZVEZDARA);RADIMPEX SOFTWARE DOO BEOGRAD;GOLUBAČKA 2A;11000 BEOGRAD;Grad Beograd;17464485;102791925;Društvo sa ograničenom odgovornošću;26.2.2003.;Računarsko programiranje
DIGIT CONSULTING DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, INŽENJERING, KONSALTING, UNUTRAŠNJU I SPOLJNU TRGOVINU RAČUNARSKE OPREME, BEOGRAD -NOVI BEOGRAD;DIGIT CONSULTING DOO BEOGRAD;NEDELJKA GVOZDENOVIĆA 2A;11070 NOVI BEOGRAD;Grad Beograd;07462727;100286667;Društvo sa ograničenom odgovornošću;8.1.1990.;Proizvodnja računara i periferne opreme
Društvo za spoljnu trgovinu inženjering i projektovanje STUDIO TASEV d.o.o. Beograd (Grocka);STUDIO TASEV d.o.o. Beograd;KREMENJE 2 A;11309 Leštane;Grad Beograd;21071633;108809219;Društvo sa ograničenom odgovornošću;29.12.2014.;Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom
DAVAX DOO ZA PROIZVODNJU, TRGOVINU I USLUGE KAĆ;DAVAX DOO KAĆ;ATAR 106;21241 Kać;Južno-Bački;20260785;104874872;Društvo sa ograničenom odgovornošću;23.2.2007.;Mašinska obrada metala
PRIVREDNO DRUŠTVO ZA TRGOVINU, PROIZVODNJU I USLUGE HDDSURGERY DOO, BEOGRAD (NOVI BEOGRAD);HDDSURGERY DOO BEOGRAD;MILUTINA MILANKOVIĆA 33-35 1 2;11070 NOVI BEOGRAD;Grad Beograd;20755695;107206870;Društvo sa ograničenom odgovornošću;17.8.2011.;Mašinska obrada metala
LA CO ME TECNO DOO ADRANI;LA CO ME TECNO DOO;NIKOLE TESLE 268;26203 Sefkerin;Raški;21141798;109205625;Društvo sa ograničenom odgovornošću;12.10.2015.;Mašinska obrada metala
ALCOM WORLDWIDE DOO PEĆINCI-ŠIMANOVCI;ALCOM WORLDWIDE DOO;KRNJEŠEVAČKA 152;22310 Šimanovci;Sremski;21160091;109314101;Društvo sa ograničenom odgovornošću;25.12.2015.;Proizvodnja metalnih konstrukcija i delova konstrukcija
ALCOM RPT-SYSTEMS DOO PEĆINCI-ŠIMANOVCI;ALCOM RPT-SYSTEMS DOO;Krnješevačka 152;22310 Šimanovci;Sremski;21113824;109026469;Društvo sa ograničenom odgovornošću;12.6.2015.;Mašinska obrada metala
ALCOM Recycling DOO SREMSKA MITROVICA;ALCOM Recycling DOO;Teodora Bekića BB;22000 Sremska Mitrovica;Sremski;21460222;111311973;Društvo sa ograničenom odgovornošću;4.3.2019.;Ponovna upotreba razvrstanih materijala
ALCOM DOO ZA PROIZVODNJU, TRGOVINU I USLUGE, INĐIJA;ALCOM DOO INĐIJA;ZMAJ JOVINA 68;22320 Inđija;Sremski;08487626;100698409;Društvo sa ograničenom odgovornošću;21.12.1992.;Nespecijalizovana trgovina na veliko
ALCOM PARTS DOO Šimanovci;ALCOM PARTS DOO;KRNjEŠEVAČKA 152;22310 Šimanovci;Sremski;21962821;114047005;Društvo sa ograničenom odgovornošću;10.11.2023.;Mašinska obrada metala
ALCOM PROFILES DOO Šimanovci;ALCOM PROFILES DOO;KRNjEŠEVAČKA 152;22310 Šimanovci;Sremski;21962813;114046998;Društvo sa ograničenom odgovornošću;10.11.2023.;Mašinska obrada metala
ALEKSANDAR LUGONJA PR RAČUNARSKO PROGRAMIRANJE ALCOM PROGRAMIRANJE KRALJEVO;ALEKSANDAR LUGONJA PR ALCOM PROGRAMIRANJE;Ibarska 21/2;36000 KRALJEVO;Raški;64741900;110225619;Preduzetnik;12.9.2017.;Računarsko programiranje
S.T.R. ZA PROMET ROBE NA VELIKO ALCOM BEOGRAD-DEO;S.T.R. ZA PROMET ROBE NA VELIKO ALCOM;HRVATSKA 10;11000 BEOGRAD;Grad Beograd;53222790;Not Found;Preduzetnik;1.1.0001.;Not Found
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE UNIMETAL DOO, PIROT;UNIMETAL DOO PIROT;Nikole Pašića 216;18300 PIROT;Pirotski;17123572;100354122;Društvo sa ograničenom odgovornošću;9.2.2000.;Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE UNIMETAL DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BELA VODA;DOO UNIMETAL KRUŠEVAC;OMLADINSKA 9;37253 Bela Voda;Rasinski;07953747;100474785;Društvo sa ograničenom odgovornošću;2.3.1993.;Proizvodnja mašina za ostale specijalne namene
UNIMETAL PREDUZEĆE ZA PROIZVODNJUINŽINJERING KOOPERACIJU I TRGOVINU DOO BEOGRAD (VOŽDOVAC);UNIMETAL DOO BEOGRAD;SLOBODANA JOVIĆA 51;11010 BEOGRAD-VOŽDOVAC;Grad Beograd;17167111;101743824;Društvo sa ograničenom odgovornošću;9.2.1993.;Mašinska obrada metala
LJUBODRAG SMILJKOVIĆ PR POPRAVKA ODRŽAVANJE I RAD SA GRAĐEVINSKIM MAŠINAMA UNIMETAL B-VOD BELA VODA;UNIMETAL B-VOD;Not Found;37253 Bela Voda;Rasinski;63404608;108369525;Preduzetnik;15.1.2014.;Popravka mašina
UNI METAL-MAX DOO VRANJE;UNI METAL-MAX DOO;PARTIZANSKI PUT BB;17500 Vranje;Pčinjski;20923067;108051472;Društvo sa ograničenom odgovornošću;29.4.2013.;Ostala trgovina na malo u nespecijalizovanim prodavnicama
ALEKSANDAR MILIĆEVIĆ PREDUZETNIK ZANATSKA RADNJA ZA OBRADU I PREVLAČENJE METALA UNIMETAL MSG VRNJAČKA BANJA;ALEKSANDAR MILIĆEVIĆ PREDUZETNIK ZANATSKA RADNJA ZA OBRADU I PREVLAČENJE METALA UNIMETAL MSG VRNJAČK;DUŠANA PETROVIĆA ŠANETA 84 B;36210 VRNJAČKA BANJA;Raški;63950319;109129021;Preduzetnik;21.8.2015.;Obrada i prevlačenje metala
Društvo sa ograničenom odgovornošću UNIMETAL SISTEM DOO Leskovac;Društvo sa ograničenom odgovornošću UNIMETAL SISTEM DOO Leskovac;Žikice Jovanovića Španca 39;16000 LESKOVAC;Jablanički;21601489;112069821;Društvo sa ograničenom odgovornošću;27.7.2020.;Proizvodnja metalnih konstrukcija i delova konstrukcija
MIRJANA SMILjKOVIĆ PR POPRAVKA GRAĐEVINSKIH I POLjOPRIVREDNIH MAŠINA UNIMETAL PLUS KRUŠEVAC;MIRJANA SMILjKOVIĆ PR POPRAVKA GRAĐEVINSKIH I POLjOPRIVREDNIH MAŠINA UNIMETAL PLUS KRUŠEVAC;PETRA DOBRNjCA 4;37000 KRUŠEVAC;Rasinski;67305116;114074707;Preduzetnik;27.11.2023.;Popravka mašina
UNI - METAL ZANATSKA RADIONICA, NIKOLA MARKOVIĆ;UNI - METAL ZANATSKA RADIONICA, NIKOLA MARKOVIĆ;ADRANSKA BB;36000 KRALJEVO;Raški;56815228;103658707;Not Found;1.2.2005.;Proizvodnja veznih elemenata i vijčanih mašinskih proizvoda
SZR UNIMETAL DRAGAN NOVAKOVIĆ PR UŽICE;UNIMETAL;PORA 183;31000 Užice;Zlatiborski;57170573;102776081;Preduzetnik;1.12.2005.;Mašinska obrada metala
SAMOSTALNA ZANATSKA RADNJA LORD INGENERING ĐORĐE PAVLOVIĆ PR ČAČAK;SAMOSTALNA ZANATSKA RADNJA LORD INGENERING ĐORĐE PAVLOVIĆ PR ČAČAK;OBILIĆEVA BB;32000 Čačak;Moravički;62111640;105611972;Preduzetnik;1.6.2008.;Proizvodnja mašina za industriju hrane, pića i duvana
SUPER PLAST 1991 D.O.O. NOVA PAZOVA;SUPER PLAST 1991 D.O.O. NOVA PAZOVA;CVIJE KUKOLjA BB;22330 Nova Pazova;Sremski;21929140;113810330;Društvo sa ograničenom odgovornošću;7.7.2023.;Proizvodnja ostalih proizvoda od plastike
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU SPELD MILOŠEVAC;SPELD DOO MILOŠEVAC;Carigradska 6;11318 Miloševac;Podunavski;20308621;105089425;Društvo sa ograničenom odgovornošću;13.7.2007.;Proizvodnja mašina za ostale specijalne namene
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU GMB AUTOMATIK ZA PROIZVODNJU, PROMET I USLUGE BEOGRAD (SAVSKI VENAC);DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU GMB AUTOMATIK ZA PROIZVODNJU, PROMET I USLUGE BEOGRAD (SAVSKI VENAC);KVARNERSKA 26;11000 BEOGRAD;Grad Beograd;08182515;100266592;Društvo sa ograničenom odgovornošću;31.1.1990.;Proizvodnja komunikacione opreme
DOO VUVES-COMMERCE ZA PROIZVODNJU I PROMET HEMIJSKIH I METALNIH PROIZVODA KAĆ;DOO VUVES-COMMERCE KAĆ;SVETOSAVSKA 75;21241 Kać;Južno-Bački;08474982;101696070;Društvo sa ograničenom odgovornošću;26.12.1994.;Mašinska obrada metala
DRUŠTVO S OGRANIČENOM ODGOVORNOŠĆU ELEKTRO-OPTO MEHANIKA TELEOPTIK-ŽIROSKOPI BEOGRAD (ZEMUN);TELEOPTIK-ŽIROSKOPI DOO BEOGRAD-ZEMUN;Filipa Višnjića 31;11080 ZEMUN;Grad Beograd;07020945;100091185;Društvo sa ograničenom odgovornošću;31.12.1997.;Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata
RADNIČKI INDUSTRIJSKI SINDIKAT-TELEOPTIK ŽIROSKOPI;RADNIČKI INDUSTRIJSKI SINDIKAT-TELEOPTIK ŽIROSKOPI;FILIPA VIŠNJIĆA 31;11080 ZEMUN;Grad Beograd;17840568;107744728;Not Found;1.10.2012.;Delatnost sindikata
SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA TELEOPTIK ŽIROSKOPI D.O.O. U RESTRUKTURIRANJU;SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA TELEOPTIK ŽIROSKOPI D.O.O. U RESTRUKTURIRANJU;FILIPA VIŠNJIĆA 31;11080 ZEMUN;Grad Beograd;17645412;104426839;Not Found;3.1.2003.;Delatnost sindikata
EURO HEAT DOO KRAGUJEVAC;EURO HEAT DOO KRAGUJEVAC;INDUSTRIJSKA BB;34000 KRAGUJEVAC;Šumadijski;20651474;106647543;Društvo sa ograničenom odgovornošću;27.5.2010.;Proizvodnja rashladne i ventilacione opreme, osim za domaćinstvo
EURO HEAT PHE doo Kragujevac;EURO HEAT PHE doo;Industrijska BB;34000 KRAGUJEVAC;Šumadijski;21318868;110219629;Društvo sa ograničenom odgovornošću;8.9.2017.;Proizvodnja rashladne i ventilacione opreme, osim za domaćinstvo
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU METALOGALVANIC, TRNAVA;METALOGALVANIC DOO ČAČAK, TRNAVA;POTES RUPAVICE 1B;32000 Čačak;Moravički;20638770;106593435;Društvo sa ograničenom odgovornošću;22.4.2010.;Mašinska obrada metala
SAMOSTALNA ZANATSKA RADNJA METALOGALVANIC VLADIMIR ŠVABIĆ PR TRNAVA;METALOGALVANIC;/ /;32104 ČAČAK;Moravički;60438935;104709202;Preduzetnik;1.12.2006.;Mašinska obrada metala
DRUŠTVO ZA PROIZVODNJU I INŽENJERING ELBI DOO, VALJEVO;ELBI DOO VALJEVO;LjUBOSTINjSKA 14;14000 VALJEVO;Kolubarski;06377017;100067992;Društvo sa ograničenom odgovornošću;17.2.1992.;Proizvodnja opreme za distribuciju električne energije i opreme za upravljanje električnom energijom
BILJANA JOVANOVIĆ PR TRGOVINSKA RADNJA EL-BI ELEKTRO ZLATIBOR;EL-BI ELEKTRO;SPORTSKA HALA BB;31315 ZLATIBOR;Zlatiborski;63519618;108535307;Preduzetnik;20.6.2014.;Trgovina na malo nameštajem, opremom za osvetljenje i ostalim predmetima za domaćinstvo u specijalizovanim prodavnicama
Privredno društvo za trgovinu na veliko i malo ELBI ELECTRIC SERBIA DOO Beograd;ELBI ELECTRIC SERBIA DOO;Zrenjaninski Put 11 f;11060 BEOGRAD-PALILULA;Grad Beograd;20933089;108107664;Društvo sa ograničenom odgovornošću;7.6.2013.;Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom
PROIZVODNO-TRGOVINSKO-USLUŽNO PREDUZEĆE EL - BI TRADE DOO NOVI PAZAR;PTUP EL - BI TRADE DOO NOVI PAZAR;12. SRPSKE BRIGADE 13;36300 NOVI PAZAR;Raški;17476106;102729006;Društvo sa ograničenom odgovornošću;3.3.2003.;Trgovina na veliko električnim aparatima za domaćinstvo
FLOAREA CONSTANTINESCU PR, TRGOVINSKA RADNJA I KOMISION EL-BI STAR, PANČEVO;FLOAREA CONSTANTINESCU PR, TRGOVINSKA RADNJA I KOMISION EL-BI STAR, PANČEVO;PIJACA AERODROM;26000 Pančevo;Južno-Banatski;56471642;103346736;Preduzetnik;1.5.2004.;Trgovina na malo ostalom robom na tezgama i pijacama
BOJAN BIRINJI PR PROIZVODNJA I MONTAŽA PVC I ALU STOLARIJE ELBI PVC IRIG;BOJAN BIRINJI PR PROIZVODNJA I MONTAŽA PVC I ALU STOLARIJE ELBI PVC IRIG;SVETOZARA MILETIĆA 95;22406 IRIG;Sremski;66474909;112967908;Preduzetnik;6.4.2022.;Proizvodnja predmeta od plastike za građevinarstvo
MLINO-MONT DOO BOGATIĆ;MLINO-MONT DOO;Narodnog Fronta 86;15350 BOGATIĆ;Mačvanski;21578398;111942962;Društvo sa ograničenom odgovornošću;11.5.2020.;Mašinska obrada metala
MLADEN MARINKOVIĆ PR OSTALI NEPOMENUTI SPECIFIČNI GRAĐEVINSKI RADOVI SILOS MLINOMONT 019 ZAJEČAR;MLADEN MARINKOVIĆ PR OSTALI NEPOMENUTI SPECIFIČNI GRAĐEVINSKI RADOVI SILOS MLINOMONT 019 ZAJEČAR;CRNOGORSKA 5;19000 ZAJEČAR;Zaječarski;66658252;113211728;Preduzetnik;17.8.2022.;Ostali nepomenuti specifični građevinski radovi
GENERAL SOLUTIONS SLN DOO ZRENJANIN;GENERAL SOLUTIONS SLN DOO ZRENJANIN;TEMIŠVARSKI DRUM 3. REDA 3;23000 Zrenjanin;Srednje-Banatski;20843616;107648029;Društvo sa ograničenom odgovornošću;10.7.2012.;Proizvodnja metalnih konstrukcija i delova konstrukcija
PREDUZEĆE ZA RAZVOJ I PROIZVODNJU POJAČAVAČA SLIKE I OPTOELEKTRONSKIH KOMPONENTI HARDER DIGITAL SOVA D.O.O. NIŠ;HARDER DIGITAL SOVA D.O.O. NIŠ;BULEVAR CARA KONSTANTINA 80;18000 NIŠ;Grad Niš;07360746;100666575;Društvo sa ograničenom odgovornošću;8.4.1992.;Proizvodnja optičkih instrumenata i fotografske opreme
POBEDA COMPANI DOO ZA PROIZVODNJU, TRGOVINU I USLUGE NOVA PAZOVA;POBEDA COMPANI DOO NOVA PAZOVA;ČETVRTA INDUSTRIJSKA 11;22330 Nova Pazova;Sremski;08803986;103209674;Društvo sa ograničenom odgovornošću;17.12.2003.;Proizvodnja ostalih proizvoda od plastike
ABSOLUTE CNC DOO FUTOG;ABSOLUTE CNC DOO FUTOG;Carice Milice 158;21410 Futog;Južno-Bački;21374237;110668713;Društvo sa ograničenom odgovornošću;29.3.2018.;Mašinska obrada metala
IVAN MITROVIĆ PR MAŠINBRAVARSKA RADIONICA DDM METALING LESKOVAC;IVAN MITROVIĆ PR MAŠINBRAVARSKA RADIONICA DDM METALING LESKOVAC;Vojvode Mišića 39;14234 Leskovac;Grad Beograd;63851256;108997421;Preduzetnik;22.5.2015.;Mašinska obrada metala
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU CNC OBRADA VELIKO ORAŠJE;CNC OBRADA DOO;AVALSKA 12B;11323 Veliko Orašje;Podunavski;21644439;112296741;Društvo sa ograničenom odgovornošću;6.1.2021.;Mašinska obrada metala
UNITEC CNC OBRADA METALA DOO BEOGRAD;UNITEC CNC DOO BEOGRAD;ZEMUNSKA 303 G;11277 Ugrinovci;Grad Beograd;20722061;107002129;Društvo sa ograničenom odgovornošću;23.3.2011.;Mašinska obrada metala
SINIŠA MATIĆ PREDUZETNIK CNC OBRADA METALA CNC TEHNIKA MATIĆ SOMBOR;SINIŠA MATIĆ PREDUZETNIK CNC TEHNIKA MATIĆ;CENTRALA 113;25000 Sombor;Zapadno-Bački;64374028;109710620;Preduzetnik;23.9.2016.;Mašinska obrada metala
ARPAD GABOR PR MAŠINSKA OBRADA METALA CNC PRO TEAM NOVI SAD;CNC PRO TEAM;SLOBODANA BAJIĆA 22;21000 Novi Sad;Južno-Bački;63581372;108622190;Preduzetnik;10.9.2014.;Mašinska obrada metala
JAN BALAŽ PR MAŠINSKA OBRADA METALA PROFITEH-CNC INĐIJA;JAN BALAŽ PR PROFITEH-CNC;Vojvode Stepe 8/2;22320 Inđija;Sremski;65642476;111756052;Preduzetnik;22.11.2019.;Mašinska obrada metala
LJUBIŠA OBUĆINA PR MAŠINSKA OBRADA METALA CNC K - MACHININIG GORNJI MILANOVAC;LJUBIŠA OBUĆINA PR CNC K - MACHININIG;FILIPA VIŠNjIĆA 80;32300 GORNJI MILANOVAC;Moravički;63985228;109174978;Preduzetnik;22.9.2015.;Mašinska obrada metala
IVAN MILIKIĆ PR MAŠINSKA OBRADA METALA CNC MILLING STEEL ČAČAK;IVAN MILIKIĆ PR CNC MILLING STEEL;VOJVODE RAKA LEVAJCA 13;32102 ČAČAK;Moravički;65571811;111656522;Preduzetnik;23.9.2019.;Mašinska obrada metala
BRANKO ŠABIĆ PREDUZETNIK MAŠINSKA OBRADA METALA CNC ŠABIĆ TEMERIN;BRANKO ŠABIĆ PREDUZETNIK MAŠINSKA OBRADA METALA CNC ŠABIĆ TEMERIN;Petra Drapšina 115;21235 Temerin;Južno-Bački;64972162;110731058;Preduzetnik;24.4.2018.;Mašinska obrada metala
VANJA PUAČ PR MAŠINSKA OBRADA METALA CNC METALWORKING AUGUSTUS MAČVANSKA MITROVICA;VANJA PUAČ PR MAŠINSKA OBRADA METALA CNC METALWORKING AUGUSTUS MAČVANSKA MITROVICA;SVETISLAVA DAMJANOVIĆA 26;22202 Mačvanska Mitrovica;Sremski;66389294;112840626;Preduzetnik;11.1.2022.;Mašinska obrada metala
VUK SMILJANIĆ PR MAŠINSKA OBRADA METALA SERGIUS CNC MAČKAT;VUK SMILJANIĆ PR SERGIUS CNC;Vrščić BB;31312 MAČKAT;Zlatiborski;65415330;111445537;Preduzetnik;21.5.2019.;Mašinska obrada metala
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU TRGOVINU I USLUGE SIMOVIĆ MILIJA, TRNAVA;DOO SIMOVIĆ MILIJA;Trnava bb;32104 ČAČAK;Moravički;07714084;100895817;Društvo sa ograničenom odgovornošću;8.12.1999.;Proizvodnja ostalih metalnih proizvoda
AKCIONARSKO DRUŠTVO WOKSAL AD, UŽICE;WOKSAL AD UŽICE;MILOŠA OBRENOVIĆA 2;31000 Užice;Zlatiborski;07319568;101779570;Akcionarsko društvo;24.8.1998.;Livenje ostalih obojenih metala
Amphenol Automotive Technology d.o.o. Trstenik;Amphenol Automotive Technology d.o.o.;Kruševačka 22;37240 TRSTENIK;Rasinski;21364282;110572317;Društvo sa ograničenom odgovornošću;26.2.2018.;Proizvodnja električne i elektronske opreme za motorna vozila
Privredno društvo EMKA Feinguss d.o.o. Mionica;EMKA Feinguss d.o.o. Mionica;TOPLIČKI PUT 11;14242 MIONICA;Kolubarski;07262876;101391433;Društvo sa ograničenom odgovornošću;23.6.1978.;Livenje čelika
EMKA DOO Prijepolje;EMKA DOO Prijepolje;VLADIMIRA PERIĆA VALTERA 171;31300 PRIJEPOLJE;Zlatiborski;21646008;112304606;Društvo sa ograničenom odgovornošću;13.1.2021.;Nespecijalizovana trgovina na veliko
NATAŠA VELJKOVIĆ PR OSTALA PRERADA I KONZERVIRANJE VOĆA EMKA JAŽINCE;NATAŠA VELJKOVIĆ PR OSTALA PRERADA I KONZERVIRANJE VOĆA EMKA JAŽINCE;Jažince BB;38236 ŠTRPCE;Kosovski;65827603;112035327;Preduzetnik;1.7.2020.;Ostala prerada i konzervisanje voća i povrća
MASHTRONICS PREDUZEĆE ZA PROIZVODNJU I USLUGE DOO MLADENOVAC MEĐULUŽJE;MASHTRONICS DOO MLADENOVAC;MILOŠA STEPIĆA 21;11400 MLADENOVAC;Grad Beograd;20593024;106398010;Društvo sa ograničenom odgovornošću;10.12.2009.;Proizvodnja mašina za obradu metala
PROIZVODNO TRGOVINSKO PREDUZEĆE GS EVROMETAL DOO SVILAJNAC;GS EVROMETAL DOO SVILAJNAC;BRAĆE PROTIĆ 41;35210 SVILAJNAC;Pomoravski;07412061;101476568;Društvo sa ograničenom odgovornošću;20.11.1991.;Proizvodnja alata
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BIOTEHNIKA IVD RATINA KRALJEVO;DOO BIOTEHNIKA IVD RATINA KRALJEVO;CARA LAZARA 4;36212 RATINA;Raški;20703849;106907577;Društvo sa ograničenom odgovornošću;14.1.2011.;Proizvodnja farmaceutskih preparata
ATILA KUBINA PR METALOPRERAĐIVAČKA RADNJA METALPROFIL ADA;ATILA KUBINA PR METALOPRERAĐIVAČKA RADNJA METALPROFIL ADA;Senćanski Put 75;24430 Ada;Severno-Banatski;50076890;100985624;Preduzetnik;12.5.1997.;Mašinska obrada metala
PRIVREDNO DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE METAL PROFIL DOO ŽELJUŠA;METAL PROFIL DOO DIMITROVGRAD;GEORGI DIMITROVA BB;18325 Željuša;Pirotski;20343311;105235454;Društvo sa ograničenom odgovornošću;17.10.2007.;Ostale prateće delatnosti u saobraćaju
SAMOSTALNA ZANATSKA RADNJA MULTIDEKOR TOPLICA STOJADINOVIĆ PR TRNOVČE;SAMOSTALNA ZANATSKA RADNJA MULTIDEKOR TOPLICA STOJADINOVIĆ PR TRNOVČE;Vožda Karađorđa 21;12300 PETROVAC;Braničevski;56410040;103466927;Preduzetnik;5.8.2004.;Postavljanje podnih i zidnih obloga
SAMOSTALNA ZANATSKA GRAĐEVINSKA RADNJA MULTIDEKOR VUK NIKITOVIĆ PR BEOGRAD (NOVI BEOGRAD);SAMOSTALNA ZANATSKA GRAĐEVINSKA RADNJA MULTIDEKOR VUK NIKITOVIĆ PR BEOGRAD (NOVI BEOGRAD);JURIJA GAGARINA 136;11070 NOVI BEOGRAD;Grad Beograd;54595778;102926537;Preduzetnik;5.11.1999.;Bojenje i zastakljivanje
Dalibor Simić pr Bojenje i zastakljivanje SIMIĆ MULTIDEKOR Blace;Dalibor Simić pr Bojenje i zastakljivanje SIMIĆ MULTIDEKOR Blace;VRBOVAC bb;18420 Blace;Toplički;66892417;113531735;Preduzetnik;17.2.2023.;Bojenje i zastakljivanje
OROX INT DOO PETROVARADIN;OROX INT DOO PETROVARADIN;Rade Končara 1;21132 Petrovaradin;Južno-Bački;20870745;107780539;Društvo sa ograničenom odgovornošću;24.10.2012.;Proizvodnja mašina za industriju tekstila, odeće i kože
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ELMED ZA PROIZVODNJU TRGOVINU I USLUGE, TEMERIN;DOO ELMED TEMERIN;J.N.A. 166;21235 Temerin;Južno-Bački;08639353;101454709;Društvo sa ograničenom odgovornošću;17.6.1996.;Montaža industrijskih mašina i opreme
ELMED-DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I TRGOVINU ELEKTRONSKIM MEDICINSKIM I DENTALNIM UREDJEAJIMA I OPREMOM NOVI SAD;ELMED;RUMENAČKA 114;21000 Novi Sad;Južno-Bački;08203415;101630607;Društvo sa ograničenom odgovornošću;28.2.2003.;Trgovina na malo medicinskim i ortopedskim pomagalima u specijalizovanim prodavnicama
Jelena Strugarević preduzetnik Radnja za popravku elektronskih aparata Elmed Trstenik;Jelena Strugarević preduzetnik Radnja za popravku elektronskih aparata Elmed Trstenik;JOVANA DUČIĆA 1;37240 TRSTENIK;Rasinski;66576612;113097319;Preduzetnik;7.6.2022.;Popravka elektronskih aparata za široku upotrebu
ZANATSKA RADNJA METALEX ERIĆ GORAN PREDUZETNIK BELOŠEVAC;ZANATSKA RADNJA METALEX ERIĆ GORAN PREDUZETNIK BELOŠEVAC;Not Found;14104 VALJEVO;Kolubarski;56446028;103450115;Preduzetnik;22.7.2004.;Proizvodnja nameštaja za poslovne i prodajne prostore
METALEX DOO ZA PROIZVODNJU USLUGE I TRGOVINU, INĐIJA;METALEX DOO INĐIJA;MILOŠA CRNJANSKOG 20;22320 Inđija;Sremski;08728445;100698319;Društvo sa ograničenom odgovornošću;9.5.2001.;Mašinska obrada metala
MILAN CEKIĆ PR, RADNJA ZA PROIZVODNJU METALNIH PROIZVODA METALEX DONJE MEĐUROVO;METALEX;VELJKA VLAHOVIĆA 33;18254 DONJE MEĐUROVO;Grad Niš;62456833;107042405;Preduzetnik;15.4.2011.;Proizvodnja ostalih metalnih proizvoda
METALEX ATM DOO NIŠ-PANTELEJ;METALEX ATM DOO;Đorđa Andrejevića Kuna 049;18000 NIŠ;Grad Niš;20956402;108228331;Društvo sa ograničenom odgovornošću;16.9.2013.;Montaža industrijskih mašina i opreme
Društvo za proizvodnju promet i usluge METALEX PRO d.o.o. Čačak;METALEX PRO d.o.o. Čačak;IBARSKI PUT 42;32110;Moravički;21681741;112471423;Društvo sa ograničenom odgovornošću;10.5.2021.;Skupljanje otpada koji nije opasan
NIKOLA BUTKOVIĆ PR TRGOVINA NA VELIKO METALNOM ROBOM I UGOSTITELJSTVO METALEX TRADE KRUŠEVAC;NIKOLA BUTKOVIĆ PR TRGOVINA NA VELIKO METALNOM ROBOM I UGOSTITELJSTVO METALEX TRADE KRUŠEVAC;DRINČIĆEVA 16;37000 KRUŠEVAC;Rasinski;66579697;113101628;Preduzetnik;9.6.2022.;Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje
VLADIMIR MARKOVIĆ PREDUZETNIK, ZANATSKA RADNJA METALEX SVRLJIG;METALEX;13. OKTOBAR 40;18360 SVRLJIG;Nišavski;62511583;107118896;Preduzetnik;10.6.2011.;Hladno oblikovanje profila
SZR METALEX ALEKSIĆ MILUTIN PREDUZETNIK, ĆENOVAC;METALEX;Not Found;16232 Bošnjace;Jablanički;54299974;100711662;Preduzetnik;27.12.1999.;Proizvodnja opreme za osvetljenje
METALEX PREDUZEĆE METALNE GALANTERIJE;METALEX PREDUZEĆE METALNE GALANTERIJE;DRAGANA JEVTIĆA 59;32300 GORNJI MILANOVAC;Moravički;07385382;101884725;Not Found;1.1.0001.;Not Found
MIRJANA JOVANOVIĆ PR SAKUPLJANJE NEOPASNOG OTPADA METALEX 019 BEOGRAD (ZEMUN);MIRJANA JOVANOVIĆ PR METALEX 019;UGRINOVAČKI PUT 18;11080 ZEMUN;Grad Beograd;66012204;112302549;Preduzetnik;12.1.2021.;Skupljanje otpada koji nije opasan
PREDUZEĆE ZA PROIZVODNJU I TRGOVINU GOLAŠ DOO, BEOGRAD (PALILULA);GOLAŠ DOO BEOGRAD-KRNJAČA;I SUTJESKA 1D;11060 BEOGRAD-PALILULA;Grad Beograd;07529902;100249650;Društvo sa ograničenom odgovornošću;10.10.1990.;Proizvodnja ostalih delova i dodatne opreme za motorna vozila
